Type,                        Txhash,                        BlockTime Unix,                        BlockTime,                        Fee (SOL),                        TokenAccount,                        ChangeType,                        SPL BalanceChange,                        PreBalancer,                        PostBalancer,                        TokenAddress,                        TokenName(off-chain),                        Symbol(off-chain),                        SolTransfer Source,                        SolTransfer Destination,                        Amount (SOL)
SolTransfer,2aXSN2bPFEbEzXtxESFE4UG16wsg5FhW7xJXyYeZGktezTBdYiMmpKhvGAnfuSeUfyt7r1o7w3NofJNWXV5cSSXW,1710864729,2024-03-19T16:12:09,0.000025,,,,,,,Solana,SOL,75BKp9r8keCoFg52TTHHQUrzA2owX1VyQ5aYWETkpaZG,6nbnQJJJ2RyJAcUQkcbV4rUXzh98AbZxmXovc184Y9sd,6
SolTransfer,nJtcZaAE2YejsdmWmxTtXcdJG1V6wbcT9DbMUqnAnhVFv9UZGLGN6fxY9pCYXJA7CTyrk4h4kzNARyQJdDmJ6gW,1710864710,2024-03-19T16:11:50,0.000025,,,,,,,Solana,SOL,CYW8h5UE5EddAi6jA2UwSqW6Wi1nJnF16QRPNFvBaNKT,6nbnQJJJ2RyJAcUQkcbV4rUXzh98AbZxmXovc184Y9sd,0.275451741
SolTransfer,4e1aC8gE6AUswVSCzGPNa7NfLGKqGXabzHraNkYVqKFqXHdrbvYWkk2S9zbQUaRqtLcadoM5spjjA3oRZEyHkHSj,1710863209,2024-03-19T15:46:49,0.000054,,,,,,,Solana,SOL,4wPPACtiW1SpCUaMpvqMBy6sjvhREGsCuFRM1hFisKQk,6nbnQJJJ2RyJAcUQkcbV4rUXzh98AbZxmXovc184Y9sd,1.02
SolTransfer,38GKJWUmtQpcAf84A5g1R8PvRcDtVJrpDfZxiQ6YbzoongMFouJe3ahLWpiabaptxb1PED1FaSdYtswPphnJGFv4,1710863038,2024-03-19T15:43:58,0.000025,,,,,,,Solana,SOL,2yP9btoH6mqJfS5z8iNba44QMmpsGaxq8Z6ANvbrpm2J,6nbnQJJJ2RyJAcUQkcbV4rUXzh98AbZxmXovc184Y9sd,1
SolTransfer,4C91TsEJjFmRiJV3kqRKoKyyV2XiAbwvFKqcRzHm5GAAyuoYgfrkA76JFpE2cyiRuqPcNaRMUk8whywdjab5ciqr,1710861936,2024-03-19T15:25:36,0.000005,,,,,,,Solana,SOL,H858k8sTyH83XRtzXvUqLGe3mx9kqwMVkuhufrXK52Sp,6nbnQJJJ2RyJAcUQkcbV4rUXzh98AbZxmXovc184Y9sd,0.999995
SolTransfer,26ACw3imhcuxgXZtu528M9etmCoJxkqiM998JKeptcJdoeP5WZDgbznJTCGKtSdFea1uAKuRHB5gQ2eZkp6B5gT1,1710861425,2024-03-19T15:17:05,0.000054,,,,,,,Solana,SOL,2LnaGrTF6Qqyh5dkFB9UtC1WvYNH9t17QpGta3yv3o3v,6nbnQJJJ2RyJAcUQkcbV4rUXzh98AbZxmXovc184Y9sd,3
SolTransfer,PLJ39yFot9MELVtM27uqL1qd2i8huaMYbmQJB53Hn5aa77qVRqPrsudkrbhYeGGpC2YBz9D6QHi23kLKDYEPxWS,1710861336,2024-03-19T15:15:36,0.000054,,,,,,,Solana,SOL,2u6BE4RJ3Neyj1eiY2HP5xfBqNnFwnJvKpku29wR8ik9,6nbnQJJJ2RyJAcUQkcbV4rUXzh98AbZxmXovc184Y9sd,0.02
SolTransfer,4XxW4baS8GG857UZZoZ2qbw16bRps4omXKbwUz9nHCJ59KB7dwTrvQffF65p7EgZNsuAAaTXbZg2oggGvkmjf2jC,1710861269,2024-03-19T15:14:29,0.000025,,,,,,,Solana,SOL,Hnc8U2qSYV9D3P1VzkUSX2rd7xJxirakeBND92eJqNoQ,6nbnQJJJ2RyJAcUQkcbV4rUXzh98AbZxmXovc184Y9sd,2
SolTransfer,39iyBZWqtenGDzke2yb9Uk5aVJ6RX4WaqLQV7vunVhx58cfru59vRmX6JiP8qDzNVReT9cYb6isZX5zkQZ3wDUUY,1710861101,2024-03-19T15:11:41,0.000025,,,,,,,Solana,SOL,CxzK9fTDSx9b5qjkE2CLuHKGy6nQH2sboL5DhdvgdcZs,6nbnQJJJ2RyJAcUQkcbV4rUXzh98AbZxmXovc184Y9sd,1
SolTransfer,TWns53TGZTDc283apJFQvNphL1MgEoHQhR2pGZ2EyCn3Qj57HgaovZYx43yjXikxxzGgobcebfLZChteBWgMgHu,1710860920,2024-03-19T15:08:40,0.000025,,,,,,,Solana,SOL,Hs8SPpf3xaKz3ufejBzFu643wib99Fnq6uLi3DWUGW41,6nbnQJJJ2RyJAcUQkcbV4rUXzh98AbZxmXovc184Y9sd,5
